,Locality,Type of property,Subtype of property,Price,Type of sale,Number of rooms,Area,Fully equipped kitchen,Furnished,Open fire,Terrace,Garden,Surface of the land,Surface area of the plot of land,Number of facades,Swimming pool,State of the building
0,,House,Apartment,299000,Yes,4,177,1,0,None,,None,None,None,3,None,Good
1,,House,Apartment,259000,Yes,7,215,0,0,None,,None,None,None,2,None,Good
2,,House,Apartment,299000,Yes,4,150,1,0,None,,None,None,None,2,None,Good
3,,House,Apartment,785000,Yes,4,215,0,0,None,,None,None,None,2,None,To be done up
4,,House,Apartment,785000,Yes,4,215,0,0,None,,None,None,None,2,None,To be done up
5,Liège,House,Apartment,129000,Yes,5,282,0,0,None,,None,None,None,2,None,To renovate
6,Grand Liège,House,Apartment,200000,Yes,3,160,1,0,None,,None,None,None,3,None,To be done up
7,Liège environs,House,Apartment,279000,Yes,5,237,1,0,None,,None,None,None,2,None,Good
8,,House,Apartment,299000,Yes,6,183,1,0,None,,None,None,None,2,None,Good
9,Basilique de Koekelberg,House,Apartment,560000,Yes,4,290,1,0,None,,None,None,None,2,None,Good
10,Bruxelles (19 communes),House,Apartment,695000,Yes,4,270,0,0,None,,None,None,None,2,None,Good
11,Bruxelles,House,Apartment,720000,Yes,10,435,0,0,None,,None,None,None,2,None,To renovate
12,,House,Apartment,3699000,Yes,94,3189,1,0,None,,None,None,None,4,None,Good
13,,House,Apartment,1785000,Yes,13,1050,0,0,None,1,None,None,None,3,None,As new
14,,,,None,,,,0,,None,,None,None,None,,None,
15,,House,Apartment,140000,Yes,2,130,0,0,None,,None,None,None,3,None,Good
16,Liège environs,House,Apartment,179000,Yes,5,175,0,0,None,,None,None,None,2,None,To be done up
17,,House,Apartment,279000,Yes,6,220,0,0,None,1,None,None,None,2,None,Good
18,,House,Apartment,375000,Yes,6,363,0,0,None,,None,None,None,4,None,Good
19,Nord /Ouest Bruxelles,House,Apartment,510000,Yes,6,280,0,0,None,,None,None,None,2,None,To renovate
20,Bruxelles (19 communes),House,Apartment,649000,Yes,4,351,0,,None,,None,None,None,2,None,To be done up
21,,House,Apartment,975000,Yes,7,669,0,0,None,1,None,None,None,2,None,Good
22,,House,Apartment,1050000,Yes,5,468,1,0,None,,None,None,None,2,None,Good
23,R Schaerbeek,House,Apartment,1095000,Yes,7,400,0,,None,,None,None,None,2,None,To renovate
24,,House,Apartment,1250000,Yes,17,750,0,1,None,,None,None,None,2,None,Good
25,Bruxelles (19 communes),House,Apartment,3050000,Yes,12,600,0,0,None,,None,None,None,2,None,Just renovated
26,Mont des Arts,House,Apartment,3200000,Yes,1,1350,1,0,None,1,None,None,None,2,None,Good
27,,House,Apartment,1380000,Yes,6,319,0,0,None,1,None,None,None,3,None,As new
28,,House,Apartment,439000,Yes,4,180,1,0,None,,None,None,None,2,None,Good
29,Brugge Centrum,House,Apartment,685000,Yes,4,530,0,0,None,,None,None,None,3,None,Good
30,,House,Apartment,795000,Yes,,meters,0,,None,,None,None,None,2,None,Good
31,,House,Apartment,1275000,Yes,6,600,0,0,None,,None,None,None,2,None,As new
