,Locality,Type of property,Subtype of property,Price,Type of sale,Number of rooms,Area,Fully equipped kitchen,Furnished,Open fire,Terrace,Garden,Surface of the land,Surface area of the plot of land,Number of facades,Swimming pool,State of the building
0,,House,Bungalow,229000,No,3,None,0,0,None,1,None,None,None,4,None,Good
1,"Sprimont, Louveigné",House,Bungalow,349000,No,3,None,0,0,None,,None,None,None,4,None,As new
2,,House,Bungalow,365000,No,3,None,1,0,None,1,None,None,None,4,None,Good
3,,House,Bungalow,495000,No,4,None,1,0,None,,None,None,None,4,None,Good
4,,House,Bungalow,249000,No,2,None,1,0,None,,None,None,None,4,None,Good
5,,House,Bungalow,395000,No,3,None,0,0,None,,None,None,None,4,None,To renovate
6,,House,Bungalow,229000,No,2,None,0,0,None,1,None,None,None,4,None,As new
7,Hannut et 5 kms,House,Bungalow,300000,No,2,None,0,0,None,,None,None,None,4,None,To be done up
8,,House,Bungalow,549000,No,3,None,0,0,None,,None,None,None,4,None,To renovate
9,,House,Bungalow,45000 + 875 per month,No,2,None,0,1,None,1,None,None,None,2,None,Good
10,,House,Bungalow,259000,No,3,None,1,0,None,,None,None,None,4,None,Good
11,,House,Bungalow,379000,No,2,None,0,0,None,,None,None,None,4,None,As new
12,,House,Bungalow,390000,No,2,None,0,0,None,1,None,None,None,4,None,To be done up
13,,House,Bungalow,395000,No,3,None,1,0,None,,None,None,None,4,None,To be done up
14,,House,Bungalow,299000,No,3,None,0,1,None,,None,None,None,,None,Just renovated
15,Huy très grand 15 km,House,Bungalow,170000,No,2,None,0,0,None,,None,None,None,4,None,To be done up
16,,House,Bungalow,219000,No,3,None,0,0,None,,None,None,None,4,None,To renovate
17,urbain,House,Bungalow,349000,No,4,None,1,0,None,,None,None,None,4,None,Just renovated
18,Strichon,House,Bungalow,300000,No,3,None,0,0,None,1,None,None,None,4,None,
19,,House,Bungalow,350000,No,2,None,0,0,None,,None,None,None,4,None,To be done up
20,Waremme,House,Bungalow,260000,No,3,None,1,0,None,,None,None,None,4,None,Good
21,,House,Bungalow,219000,No,2,None,0,0,None,1,None,None,None,4,None,As new
22,,House,Bungalow,445000,No,3,None,0,0,None,1,None,None,None,4,None,To be done up
23,,House,Bungalow,469000,No,4,None,1,0,None,,None,None,None,4,None,Good
24,,House,Bungalow,495000,No,5,None,0,0,None,,None,None,None,4,None,Good
25,,House,Bungalow,799000,No,5,None,0,0,None,,None,None,None,8,None,Just renovated
26,,House,Bungalow,249000,No,3,None,0,0,None,,None,None,None,4,None,
27,,House,Bungalow,279000,No,3,None,0,0,None,1,None,None,None,4,None,As new
28,,House,Bungalow,289000,No,2,None,0,0,None,,None,None,None,4,None,Good
29,,House,Bungalow,299000,No,3,None,0,0,None,,None,None,None,2,None,Just renovated
30,,House,Bungalow,365000,No,2,None,0,0,None,,None,None,None,4,None,To renovate
31,,House,Bungalow,585000,No,6,None,0,0,None,,None,None,None,4,None,As new
32,Ninove en deelgemeente,House,Bungalow,349000,No,3,None,1,,None,1,None,None,None,4,None,Good
33,,House,Bungalow,275000,No,1,None,1,0,None,,None,None,None,4,None,
34,,House,Bungalow,599000,No,3,None,1,0,None,,None,None,None,4,None,To renovate
35,Limburg,House,Bungalow,359000,No,3,None,0,,None,1,None,None,None,4,None,Good
36,Liège,House,Bungalow,234000,No,2,None,0,,None,,None,None,None,4,None,To be done up
37,,House,Bungalow,369000,No,3,None,1,0,None,,None,None,None,4,None,Good
38,,House,Bungalow,562000,No,3,None,0,0,None,,None,None,None,4,None,To renovate
39,,House,Bungalow,399000,No,4,None,0,0,None,,None,None,None,4,None,To be done up
40,,House,Bungalow,250000,No,2,None,1,0,None,,None,None,None,4,None,To renovate
41,,House,Bungalow,289000,No,2,None,0,0,None,,None,None,None,4,None,As new
42,,House,Bungalow,335000,No,3,None,1,,None,1,None,None,None,4,None,To renovate
43,,House,Bungalow,395000,No,4,None,0,,None,,None,None,None,4,None,As new
44,,House,Bungalow,405000,No,3,None,0,0,None,,None,None,None,4,None,Good
45,Ninove en deelgemeente,House,Bungalow,299000,No,3,None,1,,None,1,None,None,None,4,None,Good
46,Liège,House,Bungalow,279500,No,4,None,0,0,None,,None,None,None,4,None,Good
47,,House,Bungalow,50000 + 660 per month,No,2,None,1,,None,1,None,None,None,4,None,Good
48,Grand Liège,House,Bungalow,289000,No,4,None,0,0,None,,None,None,None,4,None,Good
49,,House,Bungalow,385000,No,2,None,0,,None,,None,None,None,3,None,To be done up
50,,House,Bungalow,410000,No,2,None,1,0,None,,None,None,None,4,None,Good
51,,House,Bungalow,249000,No,3,None,0,0,None,,None,None,None,4,None,
52,,House,Bungalow,379000,No,3,None,0,0,None,,None,None,None,4,None,To renovate
53,,House,Bungalow,148000,No,2,None,1,0,None,,None,None,None,2,None,Just renovated
54,,House,Bungalow,None,No,3,None,0,0,None,,None,None,None,4,None,Good
55,,House,Bungalow,Starting price : 115000,No,2,None,1,,None,,None,None,None,4,None,To be done up
56,Liège,House,Bungalow,275000,No,2,None,1,0,None,,None,None,None,4,None,Good
57,,House,Bungalow,285000,No,2,None,1,0,None,,None,None,None,4,None,To renovate
58,,House,Bungalow,299000,No,3,None,1,0,None,,None,None,None,4,None,Good
59,Oost- Vlaanderen,House,Bungalow,329000,No,2,None,1,,None,1,None,None,None,4,None,Good
60,,House,Bungalow,299000,No,3,None,0,,None,,None,None,None,,None,To renovate
61,,House,Bungalow,275000,No,2,None,0,0,None,,None,None,None,,None,
62,,House,Bungalow,369000,No,4,None,1,0,None,,None,None,None,3,None,Good
63,,House,Bungalow,795000,No,3,None,1,0,None,,None,None,None,4,None,Good
64,,House,Bungalow,310000,No,3,None,0,0,None,,None,None,None,4,None,To renovate
65,,House,Bungalow,365000,No,3,None,0,,None,,None,None,None,,None,
66,,House,Bungalow,280000,No,3,None,0,,None,,None,None,None,4,None,Just renovated
67,,House,Bungalow,329000,No,3,None,0,0,None,1,None,None,None,,None,
68,,House,Bungalow,Starting price : 165000,No,3,None,1,,None,,None,None,None,,None,To renovate
69,,House,Bungalow,Starting price : 100000,No,3,None,0,,None,,None,None,None,4,None,To restore
70,,House,Bungalow,275000,No,3,None,1,0,None,,None,None,None,3,None,Good
71,,House,Bungalow,Starting price : 200000,No,2,None,1,,None,,None,None,None,,None,
72,,House,Bungalow,420000,No,4,None,0,,None,,None,None,None,,None,
73,,House,Bungalow,178000,No,2,None,1,,None,,None,None,None,4,None,Just renovated
74,,House,Bungalow,Starting price : 310000,No,2,None,1,,None,1,None,None,None,4,None,
75,,House,Bungalow,179000,No,3,None,0,0,None,1,None,None,None,3,None,To be done up
76,,House,Bungalow,Starting price : 185000,No,2,None,0,,None,,None,None,None,4,None,To renovate
77,,House,Bungalow,Starting price : 295000,No,2,None,0,,None,,None,None,None,4,None,
78,,House,Bungalow,410000,No,3,None,1,0,None,1,None,None,None,4,None,Good
79,,House,Bungalow,Starting price : 220000,No,3,None,1,,None,1,None,None,None,,None,
80,Oost- Vlaanderen,House,Bungalow,795000,No,3,None,0,,None,,None,None,None,4,None,
81,,House,Bungalow,Starting price : 130000,No,1,None,0,,None,,None,None,None,4,None,
82,,House,Bungalow,Starting price : 140000,No,2,None,0,,None,,None,None,None,4,None,
83,,House,Bungalow,285000,No,2,None,0,0,None,,None,None,None,4,None,
84,,House,Bungalow,Starting price : 290000,No,3,None,0,,None,,None,None,None,4,None,
85,,House,Bungalow,329000,No,2,None,0,,None,,None,None,None,,None,
86,,House,Bungalow,435000,No,3,None,1,,None,,None,None,None,4,None,
87,,House,Bungalow,20000,No,1,None,0,,None,,None,None,None,4,None,Good
88,,House,Bungalow,Starting price : 50000,No,2,None,0,,None,1,None,None,None,,None,To be done up
89,,House,Bungalow,49000,No,1,None,1,0,None,,None,None,None,,None,Good
90,,House,Bungalow,49000,No,1,None,1,0,None,,None,None,None,,None,Good
91,,House,Bungalow,289000,No,2,None,1,0,None,1,None,None,None,,None,
92,,House,Bungalow,900000,No,,None,0,,None,,None,None,None,,None,Good
93,,House,Bungalow,Starting price : 10000,No,2,None,0,,None,,None,None,None,,None,
94,,House,Bungalow,299000,No,4,None,1,0,None,1,None,None,None,4,None,To renovate
95,,House,Bungalow,489000,No,3,None,0,0,None,,None,None,None,4,None,Good
96,,House,Bungalow,290000,No,2,None,1,0,None,,None,None,None,4,None,Good
97,,House,Bungalow,320000,No,3,None,0,0,None,1,None,None,None,4,None,Good
98,,House,Bungalow,325000,No,4,None,1,0,None,,None,None,None,4,None,To be done up
99,,House,Bungalow,249000,No,3,None,1,0,None,,None,None,None,4,None,Good
100,,House,Bungalow,249000,No,3,None,1,0,None,,None,None,None,4,None,Good
101,Bruxelles EST,House,Bungalow,450000,No,3,None,0,0,None,,None,None,None,4,None,To renovate
102,,House,Bungalow,20000 + 790 per month,No,3,None,0,0,None,,None,None,None,4,None,As new
103,,House,Bungalow,279000,No,3,None,0,0,None,,None,None,None,4,None,Good
104,,House,Bungalow,310000,No,6,None,0,0,None,,None,None,None,4,None,Good
105,,House,Bungalow,649000,No,3,None,1,0,None,1,None,None,None,4,None,To be done up
106,Ingendaelwijk,House,Bungalow,525000,No,3,None,1,,None,,None,None,None,4,None,Good
107,,House,Bungalow,380000,No,1,None,0,,None,,None,None,None,,None,
108,,House,Bungalow,215000,No,3,None,1,0,None,,None,None,None,3,None,To be done up
109,,House,Bungalow,175000,No,3,None,0,0,None,,None,None,None,4,None,To renovate
110,,House,Bungalow,329000,No,2,None,0,0,None,,None,None,None,3,None,Good
111,,House,Bungalow,349000,No,3,None,0,0,None,,None,None,None,4,None,Just renovated
112,,House,Bungalow,525000,No,4,None,0,0,None,,None,None,None,4,None,Good
113,,House,Bungalow,260000,No,2,None,0,0,None,,None,None,None,,None,To renovate
114,,House,Bungalow,320000,No,3,None,0,,None,,None,None,None,4,None,Good
115,,House,Bungalow,379000,No,3,None,0,0,None,,None,None,None,4,None,Good
116,,House,Bungalow,449000,No,3,None,0,0,None,,None,None,None,4,None,Just renovated
117,,House,Bungalow,310000,No,3,None,1,0,None,1,None,None,None,4,None,Good
118,Grand Liège,House,Bungalow,275000,No,2,None,0,0,None,1,None,None,None,3,None,Good
119,,House,Bungalow,280000,No,4,None,0,0,None,,None,None,None,4,None,To be done up
120,,House,Bungalow,395000,No,3,None,0,0,None,1,None,None,None,3,None,Good
121,Brabant Wallon,House,Bungalow,419000,No,3,None,0,,None,1,None,None,None,4,None,To renovate
122,,House,Bungalow,445000,No,2,None,1,0,None,,None,None,None,4,None,Good
123,,House,Bungalow,389000,No,2,None,0,0,None,,None,None,None,4,None,Just renovated
124,,House,Bungalow,199000,No,1,None,1,,None,,None,None,None,3,None,
125,,House,Bungalow,200000,No,1,None,0,0,None,,None,None,None,4,None,
