,Locality,Type of property,Subtype of property,Price,Type of sale,Number of rooms,Area,Fully equipped kitchen,Furnished,Open fire,Terrace,Garden,Surface of the land,Surface area of the plot of land,Number of facades,Swimming pool,State of the building
0,Hannut et 5 kms,House,Country,280000,No,3,120,0,0,None,,None,None,None,3,None,As new
1,,House,Country,249000,No,2,195,0,0,None,,None,None,None,4,None,Good
2,,House,Country,535000,No,3,224,1,0,None,1,None,None,None,4,None,Good
3,,House,Country,279000,No,1,197,0,0,None,,None,None,None,3,None,To renovate
4,,House,Country,279000,No,1,197,0,0,None,,None,None,None,3,None,To renovate
5,,House,Country,295000,No,5,168,0,0,None,,None,None,None,2,None,Just renovated
6,,House,Country,250000,No,4,186,0,0,None,,None,None,None,4,None,To renovate
7,,House,Country,1000000,No,5,260,0,0,None,,None,None,None,4,None,Good
8,,House,Country,1750000,No,5,1200,0,0,None,1,None,None,None,4,None,As new
9,,House,Country,775000,No,6,2000,0,0,None,1,None,None,None,4,None,To renovate
10,,House,Country,550000,No,4,282,0,0,None,1,None,None,None,4,None,Good
11,,House,Country,665000,No,5,296,1,0,None,1,None,None,None,4,None,To be done up
12,,House,Country,200000,No,2,100,0,0,None,,None,None,None,,None,
13,,House,Country,108000,No,2,56,1,0,None,1,None,None,None,,None,Good
14,,House,Country,148000,No,2,51,1,0,None,,None,None,None,,None,Good
15,,House,Country,262000,No,3,147,1,0,None,,None,None,None,4,None,Good
16,,House,Country,185000,No,3,191,0,0,None,,None,None,None,4,None,To renovate
17,,House,Country,175000,No,1,55,1,0,None,,None,None,None,,None,Good
18,,House,Country,390000,No,4,430,0,0,None,,None,None,None,4,None,To be done up
19,,House,Country,460000,No,2,200,0,0,None,,None,None,None,2,None,To renovate
20,,House,Country,485000,No,4,225,0,0,None,,None,None,None,,None,Good
21,,House,Country,795000,No,3,572,0,0,None,1,None,None,None,4,None,To renovate
22,,House,Country,189000,No,3,200,0,,None,1,None,None,None,4,None,To renovate
23,,House,Country,635000,No,6,349,0,0,None,1,None,None,None,2,None,As new
24,,House,Country,209000,No,3,143,0,0,None,,None,None,None,4,None,To renovate
25,,House,Country,295000,No,3,150,1,0,None,,None,None,None,1,None,As new
26,,House,Country,495000,No,4,235,1,0,None,,None,None,None,4,None,Good
27,Graty,House,Country,445000,No,5,232,0,,None,,None,None,None,4,None,To restore
28,,House,Country,695000,No,5,389,0,0,None,1,None,None,None,,None,As new
29,,House,Country,445000,No,3,190,0,0,None,,None,None,None,4,None,
30,,,,None,,,,0,,None,,None,None,None,,None,
31,,House,Country,650000,No,5,164,0,0,None,,None,None,None,4,None,To renovate
32,,House,Country,698000,No,3,300,1,0,None,1,None,None,None,4,None,Just renovated
33,,House,Country,698000,No,3,300,1,0,None,1,None,None,None,4,None,Just renovated
34,,House,Country,325000,No,4,140,0,0,None,1,None,None,None,,None,To be done up
35,,House,Country,359000,No,2,110,0,0,None,1,None,None,None,,None,To be done up
36,,House,Country,1375000,No,5,507,0,0,None,,None,None,None,4,None,Just renovated
37,,House,Country,470000,No,4,267,0,0,None,1,None,None,None,4,None,As new
38,,House,Country,495000,No,3,196,1,0,None,,None,None,None,,None,To be done up
39,,House,Country,495000,No,6,275,0,0,None,1,None,None,None,4,None,Good
40,,House,Country,588000,No,5,400,0,0,None,,None,None,None,4,None,
41,,House,Country,200000,No,2,60,1,0,None,,None,None,None,4,None,Just renovated
