,Locality,Type of property,Subtype of property,Price,Type of sale,Number of rooms,Area,Fully equipped kitchen,Furnished,Open fire,Terrace,Garden,Surface of the land,Surface area of the plot of land,Number of facades,Swimming pool,State of the building
0,,House,Duplex,439000,No,5,None,0,0,None,,None,None,None,2,None,Good
1,,House,RESIDENCE,From 189500 To 297500,No,,None,0,,None,,None,None,None,,None,
2,,House,Duplex,215000,No,2,None,0,0,None,,None,None,None,2,None,Good
3,Genappe,House,Les,From 310000 To 660000,No,,None,0,,None,,None,None,None,,None,
4,,House,CARSOEL,From 635000 To 1190000,No,,None,0,,None,,None,None,None,,None,
5,,House,Duplex,395000,No,4,None,1,0,None,,None,None,None,2,None,Good
6,,House,Duplex,595000,No,3,None,0,,None,,None,None,None,2,None,Just renovated
7,Brussel (19 gemeenten),House,Duplex,310000,No,1,None,0,1,None,,None,None,None,2,None,As new
8,,House,TERRASSES,From 330000 To 449000,No,,None,0,,None,,None,None,None,,None,
9,,House,Manoir,From 390000 To 885000,No,,None,0,,None,,None,None,None,,None,
10,,House,Duplex,398000,No,3,None,0,0,None,,None,None,None,2,None,As new
11,,House,Duplex,375000,No,3,None,1,0,None,1,None,None,None,2,None,Good
12,,House,Duplex,395000,No,4,None,1,0,None,,None,None,None,2,None,Good
13,,House,Duplex,595000,No,4,None,1,0,None,,None,None,None,3,None,As new
14,,House,Appartements,From 133058 To 271536,No,,None,0,,None,,None,None,None,,None,
15,Zone Sud Province du Luxembourg,House,Résidence,From 185000 To 299000,No,,None,0,,None,,None,None,None,,None,
16,,House,New,From 185337 To 385000,No,,None,0,,None,,None,None,None,,None,
17,,House,Residentie,From 195953 To 330983,No,,None,0,,None,,None,None,None,,None,
18,,House,De,From 198000 To 399000,No,,None,0,,None,,None,None,None,,None,
19,,House,Duplex,199000,No,2,None,0,0,None,,None,None,None,,None,Good
20,,House,RES.,From 199500 To 499500,No,,None,0,,None,,None,None,None,,None,
21,,House,FIDELIS,From 215000 To 305000,No,,None,0,,None,,None,None,None,,None,
