,Locality,Type of property,Subtype of property,Price,Type of sale,Number of rooms,Area,Fully equipped kitchen,Furnished,Open fire,Terrace,Garden,Surface of the land,Surface area of the plot of land,Number of facades,Swimming pool,State of the building
0,,House,Exceptional,449000,No,5,277,0,0,None,,None,None,None,4,None,As new
1,Zone Sud Province du Luxembourg,House,Exceptional,720000,No,4,205,0,0,None,1,None,None,None,4,None,To be done up
2,,House,Exceptional,845000,No,6,310,0,0,None,,None,None,None,2,None,As new
3,Liège,House,Exceptional,995000,No,10,650,0,0,None,,None,None,None,4,None,To renovate
4,,House,Exceptional,695000,No,4,385,0,,None,1,None,None,None,2,None,To be done up
5,,House,Exceptional,559000,No,3,129,0,0,None,1,None,None,None,4,None,As new
6,,House,Exceptional,1850000,No,6,600,0,0,None,,None,None,None,4,None,As new
7,Zone Sud Province du Luxembourg,House,Exceptional,675000,No,4,290,0,0,None,1,None,None,None,3,None,Good
8,,House,Exceptional,2399000,No,5,400,0,0,None,,None,None,None,4,None,As new
9,,House,Exceptional,2699000,No,4,530,0,1,None,,None,None,None,4,None,Good
10,,House,Exceptional,600000,No,4,180,1,0,None,,None,None,None,4,None,As new
11,Zone Province de Namur,House,Exceptional,None,No,7,777,0,1,None,1,None,None,None,4,None,As new
12,,House,Exceptional,880000,No,4,437,0,0,None,,None,None,None,4,None,As new
13,,House,Exceptional,1500000,No,6,598,0,1,None,1,None,None,None,4,None,Good
14,,House,Exceptional,975000,No,5,550,1,0,None,,None,None,None,,None,Good
15,,House,Exceptional,598000,No,3,260,0,,None,,None,None,None,4,None,As new
16,,House,Exceptional,720000,No,4,384,0,0,None,,None,None,None,3,None,As new
17,Fort-Jaco,House,Exceptional,1400000,,3,350,0,0,None,,None,None,None,4,None,Good
18,,House,Exceptional,3750000,No,5,362,0,0,None,,None,None,None,4,None,As new
19,Liège,House,Exceptional,799000,No,2,350,0,0,None,,None,None,None,2,None,As new
20,,House,Exceptional,645000,No,5,250,0,0,None,,None,None,None,4,None,As new
21,,House,Exceptional,850000,No,5,283,0,0,None,,None,None,None,2,None,As new
22,,House,Exceptional,850000,No,5,283,0,0,None,,None,None,None,2,None,As new
23,,House,Exceptional,850000,No,3,430,0,0,None,,None,None,None,3,None,As new
24,,House,Exceptional,1295000,No,10,377,0,,None,1,None,None,None,4,None,To renovate
25,,House,Exceptional,1495000,No,5,450,0,0,None,,None,None,None,7,None,
26,,House,Exceptional,1875000,No,6,375,1,0,None,,None,None,None,4,None,Good
27,,House,Exceptional,1950000,Yes,6,1165,0,0,None,,None,None,None,4,None,As new
28,,House,Exceptional,1950000,Yes,6,1165,0,0,None,,None,None,None,4,None,As new
29,,House,Exceptional,881000,No,5,,0,,None,1,None,None,None,4,None,To renovate
30,,House,Exceptional,480000,No,4,212,0,0,None,,None,None,None,2,None,To renovate
31,Oud Antwerpen,House,Exceptional,2950000,No,7,696,1,0,None,,None,None,None,2,None,As new
32,,House,Exceptional,3380000,No,7,600,0,0,None,,None,None,None,4,None,As new
33,,House,Exceptional,4290000,No,5,260,0,0,None,1,None,None,None,3,None,Good
34,,House,Exceptional,1200000,No,10,460,0,0,None,,None,None,None,4,None,Good
35,,House,Exceptional,1587000,No,4,926,1,0,None,,None,None,None,4,None,Just renovated
36,,House,Exceptional,495000,No,4,197,0,0,None,1,None,None,None,4,None,To renovate
37,Zone Province de Namur,House,Exceptional,689000,No,13,750,0,0,None,1,None,None,None,3,None,Good
38,,House,Exceptional,1250000,No,5,500,0,0,None,1,None,None,None,4,None,As new
39,,House,Exceptional,1250000,No,5,735,0,0,None,,None,None,None,4,None,As new
40,,House,Exceptional,1650000,No,7,370,1,0,None,1,None,None,None,4,None,Good
41,,House,Exceptional,1820000,No,4,635,0,0,None,,None,None,None,2,None,Good
42,,House,Exceptional,1850000,No,6,600,0,0,None,,None,None,None,4,None,As new
43,,,,None,,,,0,,None,,None,None,None,,None,
44,,House,Exceptional,4950000,No,6,1500,0,0,None,,None,None,None,4,None,As new
