,Locality,Type of property,Subtype of property,Price,Type of sale,Number of rooms,Area,Fully equipped kitchen,Furnished,Open fire,Terrace,Garden,Surface of the land,Surface area of the plot of land,Number of facades,Swimming pool,State of the building
0,,Apartment,Apartment,395000,No,2,80,0,,None,,None,None,None,,None,
1,,House,Loft,375000,No,2,78,1,0,None,,None,None,None,,None,Good
2,Bruxelles,House,Loft,695000,No,2,190,0,,None,,None,None,None,2,None,As new
3,Brabant wallon,House,VAL,From 217400 To 415500,No,,bedrooms,0,,None,,None,None,None,,None,
4,,House,VILLA,From 233350 To 444900,No,,bedrooms,0,,None,,None,None,None,,None,
5,,House,Reconversion,From 275520 To 420200,No,,bedrooms,0,,None,,None,None,None,,None,
6,,House,New,From 299000 To 567600,No,,bedrooms,0,,None,,None,None,None,,None,
7,Bruxelles,House,Loft,535000,No,2,168,0,,None,,None,None,None,3,None,As new
8,Liège,House,Loft,192000,No,2,112,0,0,None,,None,None,None,3,None,As new
9,,House,Loft,270000,No,2,115,0,,None,,None,None,None,2,None,As new
10,,House,Loft,315000,No,3,200,0,,None,,None,None,None,2,None,As new
11,,House,Loft,699000,No,3,257,0,0,None,,None,None,None,2,None,Good
12,,House,Loft,269000,No,3,164,0,0,None,,None,None,None,2,None,Good
13,,House,Loft,680000,No,3,249,0,0,None,,None,None,None,2,None,As new
14,Liège,House,Loft,192000,No,1,135,0,0,None,,None,None,None,3,None,As new
15,,House,Loft,445000,No,2,118,1,0,None,,None,None,None,2,None,Good
16,,House,Loft,249000,No,2,135,0,0,None,,None,None,None,3,None,As new
17,Bruxelles Nord,House,Loft,395000,No,4,179,0,0,None,,None,None,None,2,None,Good
18,Bruxelles Nord,House,Loft,395000,No,4,179,0,0,None,,None,None,None,2,None,Good
19,Bruxelles (19 communes),House,Loft,1295000,No,3,315,0,0,None,,None,None,None,2,None,As new
20,,House,Loft,339000,No,1,115,0,0,None,,None,None,None,2,None,As new
21,,,,None,,,,0,,None,,None,None,None,,None,
22,,House,Loft,565000,No,3,180,1,0,None,,None,None,None,2,None,As new
23,,House,Loft,565000,No,3,180,1,0,None,,None,None,None,2,None,As new
24,Brabant Wallon,House,val,From 271600 To 415500,No,,99,0,,None,,None,None,None,,None,
25,,House,Loft,420000,No,1,155,0,0,None,,None,None,None,2,None,As new
26,,House,Loft,399000,No,3,221,0,0,None,,None,None,None,,None,As new
27,urbain,House,Loft,245000,No,3,120,0,0,None,1,None,None,None,2,None,Good
28,,House,Loft,595000,No,2,160,0,0,None,,None,None,None,3,None,As new
29,,House,Loft,649000,No,3,242,0,0,None,,None,None,None,2,None,Good
30,,House,Loft,715000,No,3,216,0,0,None,,None,None,None,,None,As new
31,,House,Loft,735000,No,2,335,0,0,None,,None,None,None,2,None,As new
32,,House,Loft,750000,No,2,192,0,0,None,,None,None,None,4,None,As new
33,,House,Loft,139000,No,1,70,1,0,None,,None,None,None,,None,Good
34,,House,Loft,499000,No,3,175,0,0,None,1,None,None,None,3,None,Just renovated
35,,House,Loft,499000,No,3,175,0,0,None,1,None,None,None,3,None,Just renovated
36,,House,Loft,498000,No,3,246,0,0,None,,None,None,None,3,None,As new
37,,House,Loft,299000,No,2,280,1,,None,,None,None,None,3,None,As new
38,,House,Loft,435000,No,3,202,1,0,None,,None,None,None,2,None,Good
39,,House,Loft,219000,No,3,146,1,0,None,1,None,None,None,2,None,Just renovated
40,,House,Loft,395000,No,3,260,0,0,None,,None,None,None,3,None,As new
41,,House,Loft,444900,No,2,169,1,0,None,,None,None,None,4,None,
42,,House,Loft,975000,No,3,200,0,0,None,,None,None,None,,None,As new
43,,House,Loft,250000,No,2,188,0,0,None,,None,None,None,,None,Good
44,Operaplein,House,Loft,335000,No,2,135,0,0,None,,None,None,None,2,None,Good
45,,House,Loft,715000,No,4,190,0,0,None,,None,None,None,,None,
46,,House,Loft,535000,No,2,180,0,0,None,,None,None,None,3,None,As new
47,,House,Loft,169000,No,1,65,1,,None,,None,None,None,,None,Good
48,,House,Loft,449000,No,5,289,1,0,None,,None,None,None,4,None,To be done up
49,,House,Loft,347000,No,2,205,0,0,None,,None,None,None,2,None,As new
50,,House,Loft,745000,No,5,505,0,0,None,,None,None,None,3,None,Good
51,,House,Loft,None,No,2,167,0,0,None,,None,None,None,2,None,As new
52,,House,Loft,960000,No,2,308,1,0,None,,None,None,None,4,None,As new
53,,House,Loft,495000,No,2,170,1,0,None,,None,None,None,2,None,As new
54,,House,Loft,299000,No,3,173,0,0,None,1,None,None,None,2,None,Just renovated
55,,House,Loft,325000,No,2,211,0,0,None,,None,None,None,,None,Good
56,,House,Loft,835000,No,3,199,0,0,None,,None,None,None,,None,As new
57,,House,Loft,1250000,No,3,745,0,0,None,,None,None,None,3,None,As new
58,,House,Loft,309000,No,2,109,0,0,None,,None,None,None,2,None,To restore
59,,House,Loft,450000,No,6,520,0,0,None,,None,None,None,,None,
60,,House,Loft,795000,No,3,313,0,0,None,,None,None,None,,None,Good
61,,House,Loft,1200000,No,4,824,0,0,None,,None,None,None,2,None,As new
62,,House,Loft,169000,No,3,240,0,,None,,None,None,None,,None,As new
63,,House,Loft,249000,No,,meters,0,0,None,,None,None,None,2,None,
64,,House,Loft,249500,No,2,65,0,1,None,,None,None,None,2,None,Just renovated
65,,House,Loft,265000,No,2,200,0,0,None,1,None,None,None,2,None,Good
66,,House,Loft,325000,No,3,119,0,0,None,,None,None,None,2,None,As new
67,,House,Loft,1050000,No,1,78,0,1,None,,None,None,None,2,None,As new
68,,House,Loft,435000,No,2,162,1,0,None,,None,None,None,2,None,As new
69,,House,Loft,435000,No,2,162,1,0,None,,None,None,None,2,None,As new
70,,House,Loft,435000,No,2,162,1,0,None,,None,None,None,2,None,As new
71,,House,Loft,312250,No,2,115,1,0,None,,None,None,None,,None,As new
72,,House,Loft,348000,No,2,126,1,0,None,,None,None,None,2,None,Good
73,,House,Loft,269000,No,1,158,0,0,None,,None,None,None,1,None,As new
74,,House,Loft,725000,No,2,197,1,0,None,,None,None,None,2,None,Good
75,,House,Loft,435000,No,3,202,1,0,None,,None,None,None,2,None,Good
76,,House,Loft,375000,No,2,155,0,,None,,None,None,None,,None,As new
77,,House,Loft,180000,No,1,400,1,1,None,,None,None,None,,None,As new
78,,House,Loft,265000,No,2,105,1,0,None,,None,None,None,3,None,As new
79,,House,Loft,269000,No,2,120,0,0,None,,None,None,None,2,None,As new
80,,House,Loft,699000,No,2,140,0,,None,,None,None,None,,None,
81,,House,Loft,375000,No,3,140,0,0,None,,None,None,None,,None,As new
82,,House,Loft,495000,No,2,220,1,0,None,,None,None,None,2,None,As new
83,,House,Loft,495000,No,2,220,1,0,None,,None,None,None,2,None,As new
84,,House,Loft,495000,No,2,220,1,0,None,,None,None,None,2,None,As new
85,,House,Loft,495000,No,2,220,1,0,None,,None,None,None,2,None,As new
86,,House,Le,From 198890 To 285678,No,,93,0,,None,,None,None,None,,None,
87,,House,Watertoren,From 250000 To 500000,No,,,0,,None,,None,None,None,,None,
88,,House,Brouwerij,From 299000 To 997000,No,,bedrooms,0,,None,,None,None,None,,None,
89,Sint-Andries,House,The,From 389000 To 895000,No,,bedrooms,0,,None,,None,None,None,,None,
90,,House,Loft,570000,No,2,217,0,,None,,None,None,None,2,None,Just renovated
91,,House,Loft,570000,No,2,217,0,,None,,None,None,None,2,None,Just renovated
92,,House,Loft,580000,No,2,217,0,,None,,None,None,None,2,None,Just renovated
93,,House,Loft,580000,No,2,217,0,,None,,None,None,None,2,None,Just renovated
94,,House,Loft,595000,No,2,207,0,,None,,None,None,None,2,None,Just renovated
95,,House,Loft,595000,No,2,207,0,,None,,None,None,None,2,None,Just renovated
96,,House,Loft,595000,No,2,207,0,,None,,None,None,None,2,None,Just renovated
97,,House,Loft,595000,No,2,207,0,,None,,None,None,None,2,None,Just renovated
98,,House,Loft,635000,No,2,217,0,0,None,,None,None,None,,None,Just renovated
99,,House,Loft,635000,No,2,217,0,0,None,,None,None,None,,None,Just renovated
100,,House,Loft,635000,No,2,217,0,0,None,,None,None,None,,None,Just renovated
101,,House,Loft,1250000,No,3,,0,0,None,,None,None,None,3,None,Good
102,,House,ESPACE,From 169500 To 279000,No,,m²,0,,None,,None,None,None,,None,
103,,House,Loft,645000,No,2,180,0,0,None,,None,None,None,,None,As new
104,,House,Loft,699000,No,2,125,1,0,None,,None,None,None,2,None,As new
105,,House,Loft,435000,No,2,162,1,0,None,,None,None,None,2,None,As new
106,,House,Loft,250000,No,2,134,0,0,None,,None,None,None,,None,As new
107,,House,Loft,325000,No,3,188,0,0,None,,None,None,None,,None,As new
108,,House,Loft,355000,No,2,190,0,0,None,,None,None,None,,None,As new
109,,House,Loft,355000,No,2,190,0,0,None,,None,None,None,,None,As new
110,,House,Loft,490000,No,3,266,0,0,None,,None,None,None,,None,As new
111,,House,Loft,790000,No,2,254,0,0,None,,None,None,None,2,None,As new
112,,House,Loft,618000,No,2,150,1,0,None,,None,None,None,4,None,As new
113,,House,Loft,295000,No,1,106,0,,None,,None,None,None,,None,
114,,House,Loft,295000,No,2,155,1,0,None,,None,None,None,2,None,
115,,House,Loft,430000,No,3,252,0,0,None,,None,None,None,,None,As new
116,,House,Loft,490000,No,3,271,0,0,None,,None,None,None,,None,As new
117,,House,Loft,795000,No,1,400,0,0,None,,None,None,None,,None,As new
118,,House,Lofts,From 149500 To 179500,,,m²,0,,None,,None,None,None,,None,
119,,House,Loft,450000,No,3,210,0,,None,,None,None,None,3,None,As new
120,,House,Loft,699000,No,2,,0,0,None,1,None,None,None,,None,As new
121,,House,Loft,730000,No,4,520,0,,None,,None,None,None,,None,As new
122,,House,Loft,375000,No,1,,0,0,None,,None,None,None,,None,
123,,House,Loft,590000,No,2,112,0,,None,,None,None,None,,None,
124,,House,Loft,560000,No,2,153,1,0,None,,None,None,None,4,None,As new
125,,House,Loft,650000,No,4,255,0,0,None,,None,None,None,,None,
126,SBS-Lofts,House,Loft,No reserve price,No,1,,0,,None,,None,None,None,,None,
127,,House,Loft,845000,No,3,265,0,0,None,,None,None,None,3,None,Good
128,,House,Loft,350000,No,1,166,0,0,None,,None,None,None,,None,
129,,House,Loft,750000,No,2,315,0,0,None,,None,None,None,2,None,
