,Locality,Type of property,Subtype of property,Price,Type of sale,Number of rooms,Area,Fully equipped kitchen,Furnished,Open fire,Terrace,Garden,Surface of the land,Surface area of the plot of land,Number of facades,Swimming pool,State of the building
0,,House,Manor,995000,No,3,417,0,0,None,,None,None,None,4,None,
1,,House,Manor,850000,No,3,284,1,0,None,,None,None,None,4,None,Good
2,,House,Manor,1395000,No,10,470,1,0,None,1,None,None,None,,None,As new
3,,House,Manor,1395000,No,10,470,1,0,None,1,None,None,None,,None,As new
4,,House,Manor,1195000,No,4,323,0,0,None,,None,None,None,4,None,
5,,House,Manor,685000,No,3,245,1,,None,,None,None,None,,None,To renovate
6,,House,Manor,785000,No,4,398,1,0,None,,None,None,None,4,None,Good
7,,House,Manor,375000,No,3,116,0,0,None,,None,None,None,3,None,To be done up
8,,House,Manor,695000,No,3,,1,0,None,,None,None,None,4,None,Good
9,,House,Manor,899000,No,4,408,1,0,None,1,None,None,None,,None,
10,,House,Manor,349000,No,4,188,1,0,None,,None,None,None,4,None,To renovate
11,,House,Manor,2249000,No,4,364,1,,None,,None,None,None,,None,
12,,House,Manor,1350000,No,3,330,0,,None,,None,None,None,,None,
13,,House,Manor,1100000,No,3,280,1,0,None,,None,None,None,,None,As new
14,,House,Manor,1750000,No,16,403,1,0,None,,None,None,None,4,None,As new
15,,House,Manor,1299000,,17,500,1,,None,1,None,None,None,4,None,As new
16,,House,Manor,2300000,No,8,600,1,0,None,,None,None,None,,None,
17,,House,Manor,349000,No,3,228,0,0,None,,None,None,None,4,None,To be done up
18,,House,Manor,259000,No,3,227,0,0,None,,None,None,None,4,None,To be done up
19,,House,Manor,558000,No,4,169,1,0,None,1,None,None,None,4,None,As new
20,,House,Manor,335000,No,4,194,0,0,None,,None,None,None,4,None,To renovate
21,,House,Manor,975000,No,6,537,0,0,None,1,None,None,None,4,None,Good
22,,House,Manor,1320000,No,6,362,0,0,None,,None,None,None,4,None,To renovate
23,,House,Manor,725000,No,5,318,1,0,None,1,None,None,None,4,None,Good
24,,House,Manor,775000,No,5,298,1,0,None,,None,None,None,4,None,Good
25,,House,Manor,899000,No,5,808,1,0,None,,None,None,None,4,None,As new
26,,House,Manor,599000,No,4,115,0,0,None,,None,None,None,4,None,To renovate
27,,House,Manor,1290000,No,6,1100,0,0,None,,None,None,None,4,None,Good
28,,House,Manor,2200000,No,10,527,1,0,None,,None,None,None,4,None,Good
29,,House,Manor,890000,No,3,484,1,0,None,,None,None,None,4,None,
30,,House,Manor,995000,No,5,392,1,0,None,1,None,None,None,4,None,Good
31,,House,Manor,447500,No,4,204,0,0,None,,None,None,None,,None,
32,,House,Manor,899000,No,6,435,0,0,None,1,None,None,None,,None,Good
33,,House,Manor,495000,No,4,260,1,0,None,,None,None,None,4,None,To renovate
34,,House,Manor,575000,No,4,559,0,0,None,,None,None,None,4,None,
35,,House,Manor,1100000,No,3,280,1,0,None,,None,None,None,,None,As new
36,,House,Manor,1100000,No,3,280,1,0,None,,None,None,None,,None,As new
37,,House,Manor,1100000,No,3,280,1,0,None,,None,None,None,,None,As new
38,,House,Manor,1650000,No,4,507,1,0,None,,None,None,None,4,None,Good
39,,House,Manor,6800000,No,8,1400,0,0,None,,None,None,None,4,None,Good
40,,House,Manor,750000,No,4,450,0,0,None,,None,None,None,4,None,Good
41,,House,Manor,1195000,No,4,275,1,0,None,1,None,None,None,4,None,Good
42,,House,Manor,1350000,No,12,815,0,0,None,,None,None,None,,None,
43,,House,Manor,345000,No,2,220,0,0,None,,None,None,None,3,None,To renovate
44,,House,Manor,1295000,No,3,,0,0,None,,None,None,None,4,None,As new
45,,House,Manor,1199000,No,5,600,0,0,None,,None,None,None,3,None,
46,,House,Manor,1290000,No,8,761,0,0,None,,None,None,None,4,None,
47,,House,Manor,1095000,No,3,,0,0,None,,None,None,None,4,None,As new
48,,House,Manor,1750000,No,5,,0,0,None,,None,None,None,4,None,
49,,House,Manor,2420000,No,,,0,,None,,None,None,None,,None,
50,,House,Manor,1250000,,5,471,0,,None,1,None,None,None,4,None,As new
51,,House,Manor,1950000,,8,500,1,,None,1,None,None,None,4,None,Good
52,,House,Manor,1375000,,3,280,0,,None,,None,None,None,4,None,As new
53,,House,Manor,449000,No,3,210,0,,None,,None,None,None,,None,As new
54,,House,Manor,150000,,3,102,0,,None,1,None,None,None,4,None,To renovate
55,,House,Manor,225000,No,3,155,1,0,None,,None,None,None,4,None,To be done up
56,,House,Manor,210000,No,3,107,1,0,None,1,None,None,None,3,None,
57,,House,Manor,525000,No,3,257,0,,None,,None,None,None,,None,As new
58,,House,Manor,835000,No,4,482,1,,None,1,None,None,None,,None,
59,,House,Manor,1150000,,4,841,0,,None,1,None,None,None,4,None,To renovate
60,,House,Manor,2975000,No,7,860,1,0,None,,None,None,None,4,None,As new
61,,House,Manor,395000,,3,180,0,0,None,,None,None,None,4,None,Good
62,,House,Manor,629000,No,4,348,0,,None,,None,None,None,,None,
63,,House,Manor,698000,No,4,300,0,,None,1,None,None,None,,None,
64,,House,Manor,495000,Yes,8,,1,,None,1,None,None,None,4,None,Good
65,,House,Manor,845000,Yes,10,,0,1,None,,None,None,None,4,None,
66,,House,Manor,380000,No,4,205,1,0,None,,None,None,None,4,None,
67,,House,Manor,785000,No,6,413,0,0,None,,None,None,None,4,None,
68,,House,Manor,659000,No,7,418,0,0,None,,None,None,None,,None,
69,,House,Manor,2350000,No,5,800,0,0,None,,None,None,None,,None,
70,,House,Manor,529000,No,2,,0,,None,,None,None,None,,None,As new
71,,House,Manor,650000,No,,,0,,None,,None,None,None,,None,
