,Locality,Type of property,Subtype of property,Price,Type of sale,Number of rooms,Area,Fully equipped kitchen,Furnished,Open fire,Terrace,Garden,Surface of the land,Surface area of the plot of land,Number of facades,Swimming pool,State of the building
0,Brussel (19 gemeenten),House,Mixed-use,425000,Yes,2,220,0,0,None,,None,None,None,2,None,To be done up
1,Grand Liège,House,Mixed-use,139000,Yes,1,97,1,0,None,,None,None,None,3,None,As new
2,Liège environs,House,Mixed-use,189000,Yes,2,141,0,0,None,,None,None,None,3,None,To be done up
3,,House,Mixed-use,199000,Yes,2,191,0,0,None,,None,None,None,3,None,Good
4,Grand Liège,House,Mixed-use,209000,Yes,5,208,0,0,None,,None,None,None,3,None,To renovate
5,Zone Centre Province du Luxembourg,House,Mixed-use,230000,Yes,3,144,0,0,None,,None,None,None,3,None,Good
6,,House,Mixed-use,385000,Yes,4,200,0,0,None,,None,None,None,2,None,Good
7,,House,Mixed-use,759000,Yes,6,452,0,,None,1,None,None,None,2,None,Good
8,Bruxelles (19 communes),House,Mixed-use,1350000,Yes,5,380,0,0,None,,None,None,None,3,None,Just renovated
9,,House,Mixed-use,995000,Yes,11,435,1,0,None,1,None,None,None,2,None,Good
10,,House,Mixed-use,1350000,Yes,3,490,0,0,None,,None,None,None,2,None,To be done up
11,Basse Meuse,House,Mixed-use,149000,Yes,3,134,0,0,None,,None,None,None,3,None,To be done up
12,Liège,House,Mixed-use,315000,Yes,3,341,1,0,None,,None,None,None,3,None,To be done up
13,,House,Mixed-use,349000,Yes,2,228,1,0,None,,None,None,None,3,None,Just renovated
14,Bruxelles,House,Mixed-use,399000,Yes,2,192,0,0,None,,None,None,None,2,None,To be done up
15,Sud  Bruxelles,House,Mixed-use,479000,Yes,5,360,0,0,None,,None,None,None,2,None,To renovate
16,Bruxelles (19 communes),House,Mixed-use,599000,Yes,3,270,0,0,None,,None,None,None,4,None,As new
17,Européen,House,Mixed-use,1200000,Yes,3,568,1,0,None,,None,None,None,2,None,Just renovated
18,Liège environs,House,Mixed-use,149000,Yes,3,400,0,0,None,,None,None,None,2,None,To renovate
19,,House,Mixed-use,305000,Yes,5,245,0,0,None,,None,None,None,2,None,To renovate
20,Grand Liège,House,Mixed-use,200000,Yes,3,550,1,0,None,,None,None,None,2,None,To renovate
21,Grand Liège,House,Mixed-use,239000,Yes,2,110,1,0,None,,None,None,None,2,None,Good
22,Bruxelles,House,Mixed-use,589000,Yes,2,280,0,0,None,,None,None,None,2,None,Just renovated
23,Zone Nord Province du Luxembourg,House,Mixed-use,639000,Yes,5,247,1,0,None,,None,None,None,4,None,Good
24,Toutes les communes,House,Mixed-use,695000,Yes,5,256,1,0,None,,None,None,None,2,None,Good
25,Zone Province de Liège,House,Mixed-use,798000,Yes,14,808,0,1,None,,None,None,None,4,None,As new
26,,House,Mixed-use,189000,Yes,4,252,1,0,None,,None,None,None,3,None,To restore
27,,House,Mixed-use,325000,Yes,4,420,0,0,None,,None,None,None,2,None,To renovate
28,,House,Mixed-use,695000,Yes,4,255,1,0,None,,None,None,None,2,None,Good
29,,House,Mixed-use,880000,Yes,4,437,0,0,None,,None,None,None,4,None,As new
