,Locality,Type of property,Subtype of property,Price,Type of sale,Number of rooms,Area,Fully equipped kitchen,Furnished,Open fire,Terrace,Garden,Surface of the land,Surface area of the plot of land,Number of facades,Swimming pool,State of the building
0,,House,Other,1255000,No,3,700,0,0,None,1,None,None,None,4,None,Good
1,,House,Other,980000,No,9,530,0,1,None,1,None,None,None,4,None,Good
2,,House,Other,980000,No,9,530,0,1,None,1,None,None,None,4,None,Good
3,,House,Other,1280000,No,6,650,1,0,None,1,None,None,None,4,None,Good
4,,House,Other,290000,No,5,267,0,0,None,,None,None,None,2,None,To be done up
5,,House,Other,995000,No,4,600,1,0,None,1,None,None,None,4,None,Good
6,,House,Other,995000,No,4,600,1,0,None,1,None,None,None,4,None,Good
7,,House,Other,950000,No,5,380,1,0,None,,None,None,None,4,None,Good
8,,House,Other,495000,No,4,249,0,0,None,,None,None,None,4,None,Good
9,,House,Other,950000,No,5,380,1,0,None,,None,None,None,4,None,Good
10,,House,Other,698000,No,3,300,1,0,None,1,None,None,None,4,None,Just renovated
11,,House,Other,250000,No,5,230,1,0,None,1,None,None,None,,None,To renovate
12,,House,Other,220000,No,3,220,0,0,None,,None,None,None,2,None,
13,Zone Sud Province du Luxembourg,House,Other,400000,No,1,500,0,0,None,,None,None,None,3,None,To restore
14,,House,Other,999500,No,5,350,0,0,None,1,None,None,None,4,None,
15,,,,None,,,,0,,None,,None,None,None,,None,
16,,,,None,,,,0,,None,,None,None,None,,None,
17,,House,Other,3300000,No,4,500,1,0,None,,None,None,None,4,None,Good
18,,House,Other,3300000,No,4,500,1,0,None,,None,None,None,4,None,Good
19,,House,Other,Starting price : 50000,No,4,,0,,None,,None,None,None,2,None,To renovate
20,,House,Other,409000,No,4,220,0,0,None,,None,None,None,4,None,
21,,House,Other,498000,No,3,192,1,0,None,,None,None,None,4,None,As new
22,,House,Other,545000,No,1,195,1,0,None,,None,None,None,4,None,As new
23,,House,Other,1450000,,,,1,,None,1,None,None,None,4,None,As new
24,,House,Other,45000,No,,,0,,None,,None,None,None,,None,
25,,House,Other,45000,No,,,0,,None,,None,None,None,,None,
26,,House,Other,50000,No,,,0,,None,,None,None,None,,None,
