,Locality,Type of property,Subtype of property,Price,Type of sale,Number of rooms,Area,Fully equipped kitchen,Furnished,Open fire,Terrace,Garden,Surface of the land,Surface area of the plot of land,Number of facades,Swimming pool,State of the building
0,R Anderlecht,House,MOTOWN,From 185000 To 599000,No,,None,0,,None,,None,None,None,,None,
1,Namur,House,LES,From 179000 To 350000,No,,None,0,,None,,None,None,None,,None,
2,,House,DELTA,From 304000 To 799000,No,,None,0,,None,,None,None,None,,None,
3,2 - Brabant Wallon Ouest,House,"""Bellecour",From 259500 To 789000,No,,None,0,,None,,None,None,None,,None,
4,2 - Brabant Wallon Ouest,House,"""Bellecour",From 259500 To 679500,No,,None,0,,None,,None,None,None,,None,
5,2 - Brabant Wallon Ouest,House,"""Bellecour",From 265000 To 599500,No,,None,0,,None,,None,None,None,,None,
6,XX - Brabant Wallon,House,"""Parc",From 381116 To 434587,No,,None,0,,None,,None,None,None,,None,
7,,House,LA,From 187500 To 327500,No,,None,0,,None,,None,None,None,,None,
8,,House,Penthouse,213900,No,2,None,1,0,None,,None,None,None,4,None,Good
9,,House,DELTA,From 304000 To 799000,No,,None,0,,None,,None,None,None,,None,
10,,House,KING,1900000,No,,None,0,,None,,None,None,None,,None,
11,,House,"""Park",From 515000 To 1600000,No,,None,0,,None,,None,None,None,,None,
12,,House,Penthouse,259000,No,1,None,0,0,None,,None,None,None,2,None,To renovate
13,Bruxelles (19 communes),House,Penthouse,325000,No,2,None,0,,None,,None,None,None,2,None,Good
14,R Etterbeek Ixelles,House,Penthouse,640000,No,3,None,0,0,None,,None,None,None,,None,Just renovated
15,Est de Bruxelles + VL,House,Penthouse,525000,No,2,None,1,0,None,,None,None,None,3,None,Good
16,,House,Residentie,From 209900 To 348900,No,,None,0,,None,,None,None,None,,None,
17,Gent en omstreken,House,Liv-,From 210000 To 670000,No,,None,0,,None,,None,None,None,,None,
18,,House,KING,1700000,No,,None,0,,None,,None,None,None,,None,
19,,House,KING,1900000,No,,None,0,,None,,None,None,None,,None,
20,Madou Botanique,House,Penthouse,270000,No,2,None,0,0,None,,None,None,None,2,None,Just renovated
21,XX - Brabant Wallon,House,Penthouse,377000,No,2,None,0,0,None,,None,None,None,,None,As new
22,XX - Brabant Wallon,House,Penthouse,434587,No,2,None,0,,None,,None,None,None,4,None,As new
23,Brabant wallon,House,Penthouse,434587,No,2,None,0,0,None,,None,None,None,,None,As new
24,1 - Bruxelles Est,House,Penthouse,700000,No,2,None,0,0,None,,None,None,None,4,None,As new
25,Projets Bruxelles Sud,House,Penthouse,1450000,No,3,None,0,0,None,,None,None,None,4,None,As new
26,1 - Bruxelles Sud,House,Penthouse,2500000,No,4,None,0,0,None,,None,None,None,4,None,As new
27,Projets Bruxelles Sud,House,Penthouse,2500000,No,4,None,0,0,None,,None,None,None,2,None,As new
28,Projets Bruxelles Sud,House,Penthouse,2500000,No,4,None,0,0,None,,None,None,None,2,None,As new
29,Gent en omstreken,House,Penthouse,670000,No,3,None,0,0,None,,None,None,None,2,None,As new
30,,House,NATURA,From 458000 To 555000,No,,None,0,,None,,None,None,None,,None,
31,,House,L'ECRIN,1450000,No,,None,0,,None,,None,None,None,,None,
32,,House,Penthouse,79000,No,2,None,0,0,None,,None,None,None,,None,Good
33,Namur,House,ARIA,From 124000 To 345000,No,,None,0,,None,,None,None,None,,None,
34,,House,7ème,From 147000 To 618500,No,,None,0,,None,,None,None,None,,None,
35,Basse Meuse,House,Penthouse,159000,No,2,None,1,0,None,,None,None,None,2,None,Good
36,Hainaut,House,RESIDENCE,From 160529 To 317058,No,,None,0,,None,,None,None,None,,None,
37,Namur,House,NOVIA,From 165195 To 578934,No,,None,0,,None,,None,None,None,,None,
38,Liège,House,Bavière,From 176000 To 445000,No,,None,0,,None,,None,None,None,,None,
39,Brussels,House,Penthouse,179000,No,1,None,0,1,None,,None,None,None,,None,Good
40,,House,"""L'Orne",From 192000 To 477000,No,,None,0,,None,,None,None,None,,None,
41,,House,Serenity,From 198000 To 544000,No,,None,0,,None,,None,None,None,,None,
42,,House,New,From 199000 To 444000,No,,None,0,,None,,None,None,None,,None,
43,,House,Penthouse,199000,No,2,None,0,0,None,,None,None,None,,None,Good
44,,House,Residentie,From 199900 To 299900,No,,None,0,,None,,None,None,None,,None,
45,,House,Basalt,From 202000 To 269000,No,,None,0,,None,,None,None,None,,None,
46,1 - Bruxelles Est,House,"""G-House""",From 210000 To 599000,No,,None,0,,None,,None,None,None,,None,
47,,House,Residentie,From 213000 To 244200,No,,None,0,,None,,None,None,None,,None,
48,,House,New,From 225000 To 508780,No,,None,0,,None,,None,None,None,,None,
49,,House,New,From 228703 To 484205,No,,None,0,,None,,None,None,None,,None,
50,,House,Watertoren,230000,No,,None,0,,None,,None,None,None,,None,
51,,House,New,From 231525 To 1650000,No,,None,0,,None,,None,None,None,,None,
52,,House,New,From 239000 To 369000,No,,None,0,,None,,None,None,None,,None,
53,,House,Terrazza,From 242500 To 419000,No,,None,0,,None,,None,None,None,,None,
54,,House,PAVILLE,From 244800 To 356400,No,,None,0,,None,,None,None,None,,None,
55,,House,Europa,From 245000 To 410000,No,,None,0,,None,,None,None,None,,None,
56,,House,Bosuil,From 245350 To 278350,No,,None,0,,None,,None,None,None,,None,
57,,House,BELLECOUR,From 249500 To 789000,No,,None,0,,None,,None,None,None,,None,
58,,House,RESIDENCE,From 249500 To 789000,No,,None,0,,None,,None,None,None,,None,
59,Brabant wallon,House,LES,From 251322 To 677645,No,,None,0,,None,,None,None,None,,None,
60,XX - Brabant Wallon,House,"""Un",From 255000 To 399000,No,,None,0,,None,,None,None,None,,None,
61,,House,Penthouse,255000,No,1,None,1,1,None,,None,None,None,2,None,Good
62,,House,Penthouse,255000,No,1,None,1,1,None,,None,None,None,2,None,Good
63,,House,BELLECOUR,From 259500 To 679500,No,,None,0,,None,,None,None,None,,None,
64,Bruxelles,House,Poésie,From 265000 To 318000,No,,None,0,,None,,None,None,None,,None,
65,,House,Reconversion,From 275520 To 420200,No,,None,0,,None,,None,None,None,,None,
66,Bruxelles Nord,House,RESIDENCE,From 279500 To 519000,No,,None,0,,None,,None,None,None,,None,
67,,House,New,From 284500 To 559500,No,,None,0,,None,,None,None,None,,None,
68,,House,Le,From 285000 To 695000,No,,None,0,,None,,None,None,None,,None,
69,,House,Residentie,From 285000 To 420000,No,,None,0,,None,,None,None,None,,None,
70,,House,Residentie,From 294500 To 565000,No,,None,0,,None,,None,None,None,,None,
71,1 - Bruxelles Est,House,"""Admiral's",From 298000 To 598000,No,,None,0,,None,,None,None,None,,None,
72,1 - Bruxelles Est,House,"""Admiral's",From 299000 To 565000,No,,None,0,,None,,None,None,None,,None,
73,,House,Chavalie,From 299000 To 355000,No,,None,0,,None,,None,None,None,,None,
74,,House,Park,From 299000 To 610000,No,,None,0,,None,,None,None,None,,None,
75,,House,New,From 302000 To 379000,No,,None,0,,None,,None,None,None,,None,
76,,House,New,From 315000 To 695000,No,,None,0,,None,,None,None,None,,None,
77,,House,Residentie,From 318500 To 365000,No,,None,0,,None,,None,None,None,,None,
78,,House,Residentie,319000,No,,None,0,,None,,None,None,None,,None,
79,,House,Residentie,From 319000 To 325000,No,,None,0,,None,,None,None,None,,None,
80,,House,RESIDENTIE,From 340697 To 344179,No,,None,0,,None,,None,None,None,,None,
81,,House,De,343200,No,,None,0,,None,,None,None,None,,None,
82,Projets Bruxelles Est,House,GREENWOOD,From 344000 To 677000,No,,None,0,,None,,None,None,None,,None,
83,,House,Penthouse,345000,No,2,None,0,0,None,,None,None,None,4,None,As new
84,,House,Ananda,From 345900 To 377900,No,,None,0,,None,,None,None,None,,None,
85,,House,Residentie,From 362350 To 411870,No,,None,0,,None,,None,None,None,,None,
86,Bruxelles,House,Penthouse,369000,No,2,None,0,0,None,,None,None,None,2,None,As new
87,Bruxelles (19 communes),House,Penthouse,379000,No,2,None,0,0,None,,None,None,None,3,None,Good
88,,House,GANDA,From 394500 To 579000,No,,None,0,,None,,None,None,None,,None,
89,Liège environs,House,Penthouse,399000,No,4,None,0,0,None,,None,None,None,3,None,As new
90,,House,New,From 402413 To 717683,No,,None,0,,None,,None,None,None,,None,
91,,House,Le,From 442000 To 695000,No,,None,0,,None,,None,None,None,,None,
92,,House,NATURA,From 458000 To 555000,No,,None,0,,None,,None,None,None,,None,
93,,House,The,From 465000 To 2850000,No,,None,0,,None,,None,None,None,,None,
94,,House,MERCATOR,From 470000 To 575000,No,,None,0,,None,,None,None,None,,None,
95,Est de Bruxelles + VL,House,Penthouse,475000,No,3,None,0,0,None,,None,None,None,,None,Good
96,Marcel Thiry,House,Vancouver,From 478000 To 808000,No,,None,0,,None,,None,None,None,,None,
97,1 - Bruxelles Est,House,"""InWo",From 481000 To 695000,No,,None,0,,None,,None,None,None,,None,
98,Projets Bruxelles Est,House,GREENWOOD,From 481000 To 695000,No,,None,0,,None,,None,None,None,,None,
99,,House,New,From 539000 To 799000,No,,None,0,,None,,None,None,None,,None,
100,Est de Bruxelles + VL,House,Penthouse,545000,No,3,None,1,0,None,,None,None,None,2,None,Good
101,,House,RESIDENCE,From 565000 To 1190000,No,,None,0,,None,,None,None,None,,None,
102,,House,Penthouse,567000,No,3,None,0,0,None,,None,None,None,3,None,Good
103,1 - Bruxelles Sud,House,"""Astéria",From 575000 To 1350000,No,,None,0,,None,,None,None,None,,None,
104,Bruxelles Sud et Centre,House,Astéria,From 575000 To 1350000,No,,None,0,,None,,None,None,None,,None,
105,Projets Bruxelles Sud,House,Asteria,From 575000 To 1350000,No,,None,0,,None,,None,None,None,,None,
106,Projets Bruxelles Sud,House,Asteria,From 595000 To 1350000,No,,None,0,,None,,None,None,None,,None,
107,Projets Bruxelles Est,House,Sterea,From 620000 To 2950000,No,,None,0,,None,,None,None,None,,None,
108,,House,Penthouse,620000,No,3,None,1,1,None,,None,None,None,2,None,Good
109,,House,Abdijbeke,From 630727 To 800481,No,,None,0,,None,,None,None,None,,None,
110,,House,Penthouse,650000,No,3,None,0,0,None,,None,None,None,4,None,Good
111,,House,RUE,From 675000 To 690000,No,,None,0,,None,,None,None,None,,None,
112,Bruxelles Est + Sud/Est,House,Penthouse,690000,No,3,None,1,0,None,,None,None,None,2,None,To renovate
113,,House,TERVUREN,From 750000 To 1150000,No,,None,0,,None,,None,None,None,,None,
