,Locality,Type of property,Subtype of property,Price,Type of sale,Number of rooms,Area,Fully equipped kitchen,Furnished,Open fire,Terrace,Garden,Surface of the land,Surface area of the plot of land,Number of facades,Swimming pool,State of the building
0,,House,Town-house,430000,No,3,135,1,0,None,,None,None,None,2,None,To be done up
1,,House,Town-house,199000,No,3,140,1,0,None,,None,None,None,2,None,Good
2,Brussel,House,Town-house,475000,No,3,148,0,0,None,,None,None,None,2,None,As new
3,Bruxelles-Ouest,House,Town-house,585000,No,4,255,0,0,None,,None,None,None,2,None,To be done up
4,Bruxelles-Ouest,House,Town-house,585000,No,4,255,0,0,None,,None,None,None,2,None,To be done up
5,Grand Liège,House,Town-house,225000,No,3,189,1,0,None,,None,None,None,2,None,To be done up
6,Bruxelles-Sud,House,Town-house,600000,No,5,300,1,0,None,,None,None,None,2,None,To renovate
7,,House,Town-house,329000,No,2,199,1,0,None,,None,None,None,3,None,As new
8,,House,Town-house,520000,No,6,,0,0,None,,None,None,None,3,None,As new
9,,House,Town-house,625000,No,4,236,0,0,None,,None,None,None,3,None,Good
10,,,,None,,,,0,,None,,None,None,None,,None,
11,,House,Town-house,420000,No,3,192,1,0,None,,None,None,None,2,None,Good
12,,House,Town-house,219000,No,3,116,0,0,None,,None,None,None,2,None,Good
13,,House,Town-house,490000,No,3,165,1,0,None,1,None,None,None,3,None,Good
14,,House,Town-house,499000,No,4,229,0,0,None,,None,None,None,3,None,Good
15,,House,Town-house,350000,No,5,196,1,0,None,,None,None,None,4,None,As new
16,,House,Town-house,369000,No,3,181,0,0,None,,None,None,None,2,None,As new
17,,House,Town-house,229000,No,3,88,0,0,None,,None,None,None,2,None,Good
18,,House,Town-house,240000,No,3,176,0,0,None,,None,None,None,2,None,To be done up
19,,House,Town-house,399000,No,5,160,1,0,None,,None,None,None,3,None,Good
20,,House,Town-house,715000,No,4,225,1,0,None,,None,None,None,3,None,Good
21,,House,Town-house,735000,No,3,185,0,0,None,,None,None,None,2,None,As new
22,,House,Town-house,315000,No,3,147,0,0,None,,None,None,None,2,None,
23,Wallonne,House,Town-house,109900,No,2,86,1,0,None,,None,None,None,2,None,To be done up
24,Wallonne,House,Town-house,149900,No,1,71,1,0,None,,None,None,None,3,None,As new
25,,House,Town-house,180000,No,4,144,1,0,None,,None,None,None,2,None,As new
26,,House,Town-house,239000,No,2,170,1,0,None,,None,None,None,3,None,As new
27,centrum tienen,House,Town-house,285000,,2,180,0,0,None,,None,None,None,3,None,Just renovated
28,,House,Town-house,335000,No,2,210,1,0,None,,None,None,None,2,None,Good
29,,House,Town-house,339500,No,2,145,0,0,None,,None,None,None,2,None,Just renovated
30,,House,Town-house,365000,No,3,210,1,0,None,,None,None,None,3,None,To be done up
31,,House,Town-house,395000,No,3,176,1,0,None,,None,None,None,3,None,As new
32,,House,Town-house,585000,No,5,240,0,0,None,,None,None,None,,None,As new
33,,House,Town-house,410000,No,4,162,1,0,None,,None,None,None,,None,As new
34,,House,Town-house,199000,No,2,144,1,,None,,None,None,None,2,None,As new
35,,House,Town-house,315000,No,2,127,1,0,None,,None,None,None,2,None,
36,,House,Town-house,200000,No,3,161,0,0,None,,None,None,None,3,None,Good
37,,House,Town-house,299000,,4,478,1,0,None,,None,None,None,2,None,Good
38,Brabant Wallon,House,Town-house,300000,No,3,203,1,0,None,,None,None,None,2,None,To renovate
39,,House,Town-house,350000,No,3,165,0,0,None,,None,None,None,2,None,To renovate
40,,House,Town-house,338800,,4,216,0,,None,,None,None,None,3,None,As new
41,,House,Town-house,378800,,4,216,0,,None,,None,None,None,2,None,As new
42,,House,Town-house,383800,,4,216,0,,None,,None,None,None,2,None,As new
43,,House,Town-house,220000,No,3,95,1,0,None,,None,None,None,2,None,As new
44,,House,Town-house,525000,No,3,177,1,0,None,,None,None,None,2,None,As new
45,,House,Town-house,275000,No,5,,1,0,None,,None,None,None,2,None,Good
46,,House,Town-house,318000,No,3,251,1,0,None,,None,None,None,2,None,As new
47,,House,Town-house,972000,No,4,160,1,,None,1,None,None,None,2,None,Good
48,,House,Town-house,388800,,4,216,0,,None,,None,None,None,2,None,As new
49,,House,Town-house,119000,No,2,80,0,0,None,,None,None,None,2,None,To renovate
50,Huy,House,Town-house,135000,No,2,140,1,0,None,,None,None,None,2,None,To be done up
51,,House,Town-house,175000,No,2,160,1,0,None,,None,None,None,4,None,Good
52,,House,Town-house,249000,No,2,120,0,1,None,,None,None,None,2,None,Good
53,,House,Town-house,259000,No,3,185,1,0,None,,None,None,None,2,None,Good
54,,House,Town-house,330000,No,3,,0,0,None,,None,None,None,2,None,Good
55,,House,Town-house,299000,No,3,172,1,,None,,None,None,None,,None,Good
56,,House,Town-house,295000,,3,143,0,0,None,1,None,None,None,2,None,Just renovated
57,,House,Town-house,398000,No,3,200,0,1,None,,None,None,None,2,None,As new
58,,House,Town-house,482000,No,3,,1,0,None,1,None,None,None,3,None,As new
59,,House,Town-house,250000,No,2,159,0,0,None,,None,None,None,2,None,To renovate
60,,House,Town-house,150000,No,2,140,0,,None,1,None,None,None,2,None,To be done up
61,,House,Town-house,389000,No,3,267,0,0,None,,None,None,None,2,None,To renovate
62,,House,Town-house,555000,No,4,,1,0,None,,None,None,None,2,None,As new
63,,House,Town-house,279000,No,3,139,1,,None,,None,None,None,,None,As new
64,,House,Town-house,359000,Yes,3,128,1,,None,,None,None,None,1,None,To be done up
65,,House,Town-house,1245000,No,5,278,0,,None,1,None,None,None,2,None,As new
66,,House,Town-house,185000,No,3,,0,0,None,,None,None,None,2,None,Just renovated
67,,House,Town-house,190000,No,3,,0,,None,,None,None,None,2,None,To renovate
68,,House,Town-house,259000,No,3,173,0,0,None,,None,None,None,2,None,Good
69,,House,Town-house,299000,No,3,175,1,0,None,,None,None,None,3,None,As new
70,,House,Town-house,565000,No,4,175,0,0,None,,None,None,None,,None,To renovate
71,,House,Town-house,200000,No,1,49,1,,None,,None,None,None,2,None,As new
72,,House,Town-house,389000,No,3,162,0,0,None,,None,None,None,3,None,
73,,House,Town-house,339000,No,3,162,0,0,None,,None,None,None,3,None,Good
74,,House,Town-house,375000,No,3,210,0,0,None,1,None,None,None,2,None,As new
75,,House,Town-house,408000,No,3,142,1,0,None,,None,None,None,3,None,As new
76,,House,Town-house,193000,No,3,160,1,0,None,,None,None,None,2,None,To be done up
77,,House,Town-house,399000,No,3,221,1,0,None,,None,None,None,2,None,Good
78,,House,Town-house,369000,No,3,,1,0,None,,None,None,None,2,None,Just renovated
79,,House,Town-house,Starting price : 344000,No,5,311,0,,None,,None,None,None,2,None,To be done up
80,,House,Town-house,440000,No,4,142,0,0,None,1,None,None,None,2,None,
81,,House,Town-house,795000,No,5,,0,0,None,,None,None,None,3,None,As new
82,,House,Town-house,135000,No,1,70,0,0,None,,None,None,None,3,None,Good
83,,House,Town-house,250000,No,2,114,0,0,None,,None,None,None,2,None,Good
84,,House,Town-house,280000,No,3,141,1,,None,1,None,None,None,,None,
85,,House,Town-house,550000,,4,236,0,,None,,None,None,None,2,None,To be done up
86,,House,Town-house,450000,No,3,,1,0,None,1,None,None,None,2,None,
87,,House,Town-house,475000,No,3,180,0,,None,,None,None,None,,None,Just renovated
88,,House,Town-house,Starting price : 320000,No,3,,1,,None,,None,None,None,3,None,
89,,House,Town-house,135000,No,3,,0,0,None,,None,None,None,2,None,As new
90,,House,Town-house,219000,No,2,133,0,0,None,,None,None,None,3,None,Good
91,,House,Town-house,495000,No,6,230,0,0,None,,None,None,None,2,None,As new
92,,House,Town-house,490000,No,2,200,0,,None,,None,None,None,2,None,As new
93,,House,Town-house,235000,No,3,155,1,0,None,,None,None,None,2,None,As new
94,,House,Town-house,295000,No,3,150,1,0,None,,None,None,None,2,None,Good
95,,House,Town-house,480000,No,3,174,0,0,None,1,None,None,None,2,None,Good
96,Oost- Vlaanderen,House,Town-house,329000,No,3,190,0,,None,,None,None,None,3,None,As new
97,,House,Town-house,245000,No,3,162,1,0,None,,None,None,None,,None,
98,,House,Town-house,245000,No,3,170,1,0,None,,None,None,None,,None,
99,,House,Town-house,170000,No,3,132,0,0,None,,None,None,None,2,None,As new
100,,House,Town-house,250000,No,2,114,0,0,None,,None,None,None,2,None,Good
101,,House,Town-house,169900,No,3,164,0,0,None,,None,None,None,3,None,To renovate
102,,House,Town-house,972000,No,4,220,0,0,None,,None,None,None,,None,As new
103,,House,Town-house,429000,No,5,171,0,0,None,,None,None,None,3,None,As new
104,,House,Town-house,625000,No,3,154,0,1,None,1,None,None,None,2,None,
105,,House,Town-house,290000,No,3,142,0,0,None,,None,None,None,,None,
106,,House,Town-house,650000,No,4,244,0,0,None,,None,None,None,2,None,To renovate
107,,House,Town-house,255000,No,3,80,0,0,None,1,None,None,None,2,None,
108,,House,Town-house,449000,No,4,170,0,0,None,,None,None,None,2,None,As new
109,,House,Town-house,135000,,3,,0,,None,,None,None,None,2,None,
110,,House,Town-house,299000,No,3,139,1,0,None,,None,None,None,4,None,Good
111,,House,Town-house,155000,No,3,160,0,0,None,,None,None,None,3,None,
112,,House,Town-house,189000,No,2,,0,0,None,,None,None,None,2,None,To renovate
113,,House,Town-house,159500,No,2,128,0,0,None,,None,None,None,,None,Good
114,,House,Town-house,Starting price : 147000,No,4,257,0,,None,,None,None,None,2,None,
115,,House,Town-house,555000,No,3,185,0,0,None,,None,None,None,2,None,
116,,House,Town-house,220000,No,2,150,0,0,None,,None,None,None,2,None,
117,,House,Town-house,38000,No,2,,0,0,None,,None,None,None,,None,As new
118,,House,Town-house,300000,No,3,168,1,0,None,,None,None,None,3,None,Good
119,,House,Town-house,399000,No,4,180,0,0,None,1,None,None,None,2,None,Good
120,,House,Town-house,329000,No,3,194,0,0,None,,None,None,None,3,None,Just renovated
121,,House,Town-house,279000,No,3,123,0,0,None,,None,None,None,2,None,Just renovated
122,,House,Town-house,415800,No,3,145,0,,None,,None,None,None,3,None,
123,,House,Town-house,220000,No,3,112,0,0,None,,None,None,None,2,None,To be done up
124,,House,Town-house,295000,No,2,175,1,0,None,,None,None,None,2,None,To be done up
125,,House,Town-house,379000,No,3,191,0,0,None,,None,None,None,2,None,To be done up
126,,House,Town-house,424550,No,3,145,0,,None,,None,None,None,3,None,
127,,House,Town-house,315000,No,3,192,1,0,None,,None,None,None,2,None,To be done up
128,,House,Town-house,219000,No,3,228,1,0,None,,None,None,None,3,None,To restore
129,,House,Town-house,395000,No,3,145,1,0,None,,None,None,None,2,None,As new
130,,House,Town-house,349500,No,2,177,0,0,None,,None,None,None,2,None,As new
131,,House,Town-house,832000,No,4,276,0,0,None,1,None,None,None,2,None,Good
132,,House,Town-house,179999,No,2,120,1,0,None,,None,None,None,2,None,Good
133,,House,Town-house,419000,No,3,170,1,0,None,,None,None,None,2,None,Good
134,,House,Town-house,363000,No,3,152,0,0,None,,None,None,None,3,None,To be done up
135,,House,Town-house,375000,No,3,184,0,0,None,,None,None,None,,None,
136,,House,Town-house,365000,No,2,198,1,0,None,,None,None,None,2,None,As new
137,,House,Town-house,387500,No,3,200,1,0,None,,None,None,None,3,None,Good
138,,House,Town-house,350000,No,4,204,0,0,None,,None,None,None,3,None,As new
139,,House,Town-house,375000,No,4,165,0,0,None,,None,None,None,2,None,Good
140,,House,Town-house,399000,No,3,168,1,,None,,None,None,None,2,None,As new
141,,House,Town-house,409000,No,4,184,1,0,None,,None,None,None,2,None,As new
142,,House,Town-house,420000,No,3,230,1,0,None,,None,None,None,1,None,As new
143,,House,Town-house,430000,No,3,133,0,0,None,,None,None,None,2,None,As new
144,,House,Town-house,433746,No,3,144,0,,None,,None,None,None,3,None,
145,,House,Town-house,389000,No,3,260,0,0,None,1,None,None,None,2,None,Good
146,,House,Town-house,475000,No,4,160,0,0,None,,None,None,None,2,None,Good
147,,House,Town-house,230000,No,2,175,0,0,None,,None,None,None,1,None,To renovate
148,Court-Saint-Etienne,House,Town-house,267500,No,2,125,1,,None,,None,None,None,3,None,As new
149,,House,Town-house,349900,No,4,198,1,0,None,,None,None,None,3,None,Good
150,,House,Town-house,350000,,5,310,0,0,None,,None,None,None,3,None,As new
151,,House,Town-house,425000,No,3,216,1,0,None,,None,None,None,2,None,As new
152,,House,Town-house,227000,No,3,,1,0,None,,None,None,None,2,None,Good
153,,House,Town-house,269000,No,2,270,0,,None,,None,None,None,2,None,Good
