,Locality,Type of property,Subtype of property,Price,Type of sale,Number of rooms,Area,Fully equipped kitchen,Furnished,Open fire,Terrace,Garden,Surface of the land,Surface area of the plot of land,Number of facades,Swimming pool,State of the building
0,Sud  Bruxelles,House,Triplex,349000,No,3,135,1,0,None,,None,None,None,2,None,To renovate
1,Projets Bruxelles Est,House,STEREA,From 374000 To 504500,No,,bedrooms,0,,None,,None,None,None,,None,
2,,House,Triplex,375000,No,3,136,0,0,None,,None,None,None,2,None,As new
3,,House,Triplex,520000,No,4,143,0,0,None,,None,None,None,2,None,As new
4,Quartier Saint Jean,House,Triplex,849750,No,3,225,1,0,None,,None,None,None,2,None,Good
5,Est de Bruxelles + VL,House,Triplex,490000,No,3,127,0,,None,,None,None,None,2,None,To renovate
6,Centre ville,House,Triplex,255000,No,2,80,1,0,None,,None,None,None,2,None,To be done up
7,,House,Triplex,749000,No,4,220,0,0,None,1,None,None,None,2,None,As new
8,Toutes les communes,House,Triplex,340000,No,4,150,0,0,None,,None,None,None,2,None,As new
9,Toutes les communes,House,Triplex,340000,No,4,150,0,0,None,,None,None,None,2,None,As new
10,Toutes les communes,House,Triplex,349000,No,3,148,0,0,None,,None,None,None,2,None,As new
11,Omgeving Kraainem,House,Triplex,490500,No,3,132,0,,None,,None,None,None,2,None,As new
12,,,,None,,,,0,,None,,None,None,None,,None,
13,,House,Triplex,1175000,No,3,215,0,0,None,,None,None,None,2,None,As new
14,,House,Triplex,760000,No,4,,0,0,None,,None,None,None,3,None,As new
15,,House,Triplex,375000,No,4,250,0,0,None,,None,None,None,3,None,Good
16,,House,Triplex,890000,No,5,329,0,0,None,,None,None,None,3,None,Good
17,,House,Triplex,1750000,No,4,225,0,0,None,1,None,None,None,2,None,As new
18,,House,Triplex,480000,No,4,154,0,0,None,,None,None,None,3,None,Good
19,Haaltert,House,Triplex,275000,No,5,167,0,,None,,None,None,None,2,None,Good
20,Oost-Vlaanderen,House,Triplex,260000,No,3,112,0,,None,,None,None,None,2,None,Good
21,Oost-Vlaanderen,House,Triplex,280000,No,3,140,0,,None,,None,None,None,2,None,Good
22,,House,Triplex,145000,No,1,54,0,0,None,,None,None,None,2,None,Good
23,,House,Triplex,395000,No,3,167,0,0,None,,None,None,None,3,None,As new
24,Vaillance,House,Triplex,285000,No,3,140,0,,None,,None,None,None,2,None,Good
25,,House,Triplex,300000,No,3,150,1,0,None,,None,None,None,2,None,Just renovated
26,,House,Triplex,385000,No,3,130,0,0,None,,None,None,None,2,None,To be done up
27,,House,Triplex,175000,No,3,130,0,,None,,None,None,None,3,None,Just renovated
28,,House,Triplex,3450000,No,5,600,1,0,None,,None,None,None,3,None,Good
29,,House,Triplex,595000,No,3,145,0,0,None,,None,None,None,2,None,As new
30,,House,DROOMT,From 255500 To 1125000,Yes,,bedrooms,0,,None,,None,None,None,,None,
31,,House,Terrasses,From 475000 To 950000,No,,bedrooms,0,,None,,None,None,None,,None,
32,Liège,House,Triplex,140000,No,2,94,1,0,None,,None,None,None,2,None,Good
33,,House,Triplex,249000,No,4,1442,0,1,None,,None,None,None,2,None,Good
34,,House,Triplex,475000,No,3,200,0,0,None,,None,None,None,2,None,To be done up
35,,House,Triplex,600000,No,4,180,0,0,None,,None,None,None,2,None,As new
36,,House,Triplex,369000,No,3,150,1,0,None,,None,None,None,3,None,Good
37,,House,Triplex,475000,No,3,152,0,,None,,None,None,None,,None,As new
38,,House,Triplex,2700000,No,5,566,0,0,None,,None,None,None,2,None,Good
39,,House,Triplex,255000,No,4,170,0,,None,,None,None,None,2,None,Good
40,,House,Triplex,215000,No,3,108,1,0,None,,None,None,None,3,None,Good
41,,House,Triplex,325000,No,3,415,0,0,None,,None,None,None,2,None,Good
42,,House,Triplex,89000,No,2,100,0,0,None,,None,None,None,2,None,
43,Bruxelles- Quartier CEE,House,Triplex,499000,No,2,140,0,0,None,,None,None,None,2,None,As new
44,,House,Triplex,299000,No,3,179,0,0,None,,None,None,None,2,None,
45,,House,Triplex,309000,No,3,179,0,0,None,,None,None,None,2,None,
46,,House,Triplex,379000,No,2,130,1,0,None,,None,None,None,2,None,As new
47,,House,Triplex,289500,No,3,153,0,,None,,None,None,None,2,None,As new
48,,House,Triplex,440000,No,2,130,1,0,None,,None,None,None,2,None,As new
49,Regio Sint-Amands-Bornem,House,Triplex,339000,No,3,,0,,None,,None,None,None,,None,As new
50,,House,Triplex,345000,No,5,240,1,1,None,,None,None,None,2,None,As new
51,,House,Triplex,285000,No,3,282,0,,None,,None,None,None,2,None,Good
52,,House,Triplex,299000,No,2,145,0,0,None,,None,None,None,2,None,
53,,House,Triplex,370000,No,3,180,0,0,None,,None,None,None,2,None,Good
54,,House,Triplex,1950000,No,5,350,0,0,None,,None,None,None,,None,As new
55,,House,Triplex,188000,No,3,111,1,,None,,None,None,None,2,None,Just renovated
56,,House,Triplex,395000,No,4,150,1,0,None,,None,None,None,3,None,
57,,House,Triplex,289000,No,5,191,1,0,None,1,None,None,None,4,None,To be done up
58,,House,Triplex,268000,No,2,94,1,0,None,,None,None,None,2,None,
59,,House,Triplex,279000,No,3,112,0,0,None,,None,None,None,2,None,
60,Bruxelles Sud,House,Triplex,399000,No,2,120,0,0,None,,None,None,None,2,None,As new
61,,House,Triplex,499000,No,4,195,0,,None,1,None,None,None,3,None,As new
62,,House,Triplex,239000,No,3,131,0,0,None,,None,None,None,2,None,To renovate
63,,House,Triplex,280000,No,3,,0,0,None,1,None,None,None,2,None,Good
64,,House,Triplex,260000,No,3,125,0,,None,,None,None,None,2,None,As new
65,,House,Triplex,625000,No,2,190,0,,None,,None,None,None,2,None,As new
66,,House,Triplex,349000,No,4,145,0,0,None,,None,None,None,,None,As new
67,STOCKEL / PLACE DUMON,House,Triplex,599000,No,3,152,0,0,None,,None,None,None,2,None,As new
68,,House,Triplex,389000,No,2,190,1,0,None,,None,None,None,2,None,As new
69,Vlaams Brabant,House,Triplex,285000,No,3,126,0,0,None,,None,None,None,2,None,As new
70,,House,Triplex,749000,No,2,217,1,0,None,,None,None,None,2,None,As new
71,,House,Triplex,252399,No,3,101,1,0,None,,None,None,None,4,None,
