,Locality,Type of property,Subtype of property,Price,Type of sale,Number of rooms,Area,Fully equipped kitchen,Furnished,Open fire,Terrace,Garden,Surface of the land,Surface area of the plot of land,Number of facades,Swimming pool,State of the building
0,,House,Villa,1650000,No,4,None,0,0,None,,None,None,None,4,None,As new
1,St Joh'ns,House,Villa,895000,,4,None,1,0,None,,None,None,None,4,None,To be done up
2,,House,Villa,1175000,No,5,None,0,1,None,1,None,None,None,4,None,As new
3,,House,Villa,239000,No,2,None,0,0,None,,None,None,None,4,None,To be done up
4,,House,Villa,239000,No,2,None,0,0,None,,None,None,None,4,None,To be done up
5,,House,Villa,1150000,No,6,None,1,0,None,,None,None,None,4,None,Good
6,Hannut et 5 kms,House,Villa,300000,No,6,None,0,0,None,1,None,None,None,4,None,To be done up
7,,House,Villa,450000,No,5,None,0,,None,,None,None,None,4,None,To be done up
8,,House,Villa,799000,No,4,None,0,0,None,1,None,None,None,4,None,Good
9,,House,Villa,200000,No,3,None,0,0,None,,None,None,None,4,None,Good
10,Liège environs,House,Villa,259000,No,3,None,1,1,None,,None,None,None,4,None,To be done up
11,,House,Chapelle,From 371000 To 391000,No,,None,0,,None,,None,None,None,,None,
12,,House,Villa,375000,No,3,None,0,0,None,,None,None,None,4,None,Good
13,Liège et 15kms,House,Villa,385000,No,3,None,1,0,None,,None,None,None,4,None,As new
14,Brabant Wallon,House,Villa,399000,No,3,None,1,0,None,,None,None,None,4,None,As new
15,Liège environs,House,Villa,399000,No,3,None,1,1,None,,None,None,None,4,None,As new
16,,House,Villa,419000,No,4,None,0,0,None,,None,None,None,4,None,As new
17,,House,Villa,450000,No,2,None,0,0,None,,None,None,None,4,None,Good
18,,House,Villa,480000,No,3,None,0,0,None,,None,None,None,4,None,To renovate
19,,House,Villa,515000,No,3,None,0,,None,,None,None,None,4,None,To renovate
20,,House,New,From 595000 To 645000,No,,None,0,,None,,None,None,None,,None,
21,1 - Bruxelles Sud,House,"""Moulin",707645,No,,None,0,,None,,None,None,None,,None,
22,Bruxelles,House,MOULIN,707645,No,,None,0,,None,,None,None,None,,None,
23,,House,Villa,845000,No,4,None,0,0,None,,None,None,None,4,None,As new
24,Brabant Wallon,House,Villa,949000,No,5,None,1,0,None,,None,None,None,4,None,Good
25,Versailles,House,Villa,980000,Yes,5,None,0,0,None,,None,None,None,4,None,As new
26,,House,Villa,215000,No,2,None,0,0,None,,None,None,None,4,None,To be done up
27,,House,Villa,365000,No,3,None,1,0,None,1,None,None,None,4,None,Good
28,,House,Villa,379000,No,4,None,1,,None,1,None,None,None,4,None,Good
29,,House,Villa,379000,No,4,None,1,0,None,,None,None,None,4,None,Good
30,,House,Villa,598000,No,6,None,0,0,None,,None,None,None,3,None,As new
31,Bruxelles,House,Villa,599000,No,4,None,0,0,None,,None,None,None,4,None,As new
32,,House,Villa,799000,No,4,None,0,0,None,,None,None,None,4,None,Good
33,,House,Villa,1290000,No,5,None,0,0,None,1,None,None,None,4,None,To renovate
34,Bruxelles Sud,House,Villa,1390000,No,5,None,0,0,None,,None,None,None,4,None,Just renovated
35,,House,Villa,895000,,5,None,1,0,None,1,None,None,None,4,None,To restore
36,Est et périphérie bruxelloise,House,Villa,660000,No,5,None,0,0,None,,None,None,None,4,None,Good
37,,House,Villa,495000,No,3,None,1,0,None,1,None,None,None,4,None,Good
38,,House,Villa,745000,No,5,None,1,0,None,,None,None,None,4,None,As new
39,,House,Villa,599000,No,3,None,1,0,None,1,None,None,None,4,None,Just renovated
40,,House,Villa,1255000,No,3,None,0,0,None,1,None,None,None,4,None,Good
41,,House,Villa,275000,No,2,None,0,0,None,,None,None,None,4,None,Good
42,,House,Villa,375000,No,3,None,0,0,None,1,None,None,None,4,None,To renovate
43,,House,Villa,445000,No,5,None,0,0,None,1,None,None,None,4,None,Good
44,Waterloo,House,Villa,695000,,4,None,0,0,None,1,None,None,None,4,None,Good
45,,House,Villa,399000,No,3,None,0,0,None,1,None,None,None,4,None,Good
